Location,No. of Dengue Cases
SHUN STREET 21 (BLK 219),2
SHUN STREET 21 (BLK 223),1
Location,No. of Dengue Cases
MO KIO AVENUE 10 (BLK 544),1
MO KIO AVENUE 10 (BLK 549),1
"",
Location,No. of Dengue Cases
"",
WOODGROVE VIEW,1
"",
Location,No. of Dengue Cases
BARTLEY ROAD,1
EDEN GROVE,1
Location,No. of Dengue Cases
OK NORTH ROAD (BLK 180),2
"",
Location,No. of Dengue Cases
SHAN STREET 22 (BLK 234),1
SHAN STREET 23 (BLK 226),1
"",
Location,No. of Dengue Cases
CAVENAGH ROAD,2
Location,No. of Dengue Cases
CHU KANG CENTRAL (BLK 214),1
CHU KANG CENTRAL (BLK 215),1
"",
Location,No. of Dengue Cases
HU KANG CRESCENT (BLK 683B),1
HU KANG CRESCENT (BLK 684B),1
"",
Location,No. of Dengue Cases
MENTI AVENUE 4 (BLK 304),1
MENTI AVENUE 4 (BLK 306),1
Location,No. of Dengue Cases
MONWEALTH DRIVE (BLK 75),2
"",
Location,No. of Dengue Cases
PASSVALE WALK (BLK 232),1
PASSVALE WALK (BLK 233),1
"",
Location,No. of Dengue Cases
FARRER ROAD,2
Location,No. of Dengue Cases
GOODLINK PARK,1
PLATINA ROAD,1
"",
Location,No. of Dengue Cases
UGANG AVENUE 5 (BLK 334),1
UGANG AVENUE 7 (BLK 31),1
"",
Location,No. of Dengue Cases
UGANG AVENUE 8 (BLK 501),1
UGANG AVENUE 8 (BLK 507),1
Location,No. of Dengue Cases
JALAN KELICHAP,1
PAYA LEBAR WALK,1
"",
Location,No. of Dengue Cases
ONG WEST AVE 1 (BLK 538),1
ONG WEST AVE 1 (BLK 542),1
Location,No. of Dengue Cases
KIM TIAN RD (BLK 127D),1
KIM TIAN RD (BLK 130),1
"",
Location,No. of Dengue Cases
ONG 1 TOA PAYOH (BLK 108),1
A PAYOH NORTH (BLK 206),1
"",
Location,No. of Dengue Cases
LORONG LEW LIAN,1
Location,No. of Dengue Cases
MEYER ROAD,2
Location,No. of Dengue Cases
PASIR RIS DRIVE 1,1
SIR RIS DRIVE 1 (BLK 536),1
"",
Location,No. of Dengue Cases
SIR RIS DRIVE 6 (BLK 411),1,
Location,No. of Dengue Cases,
IR RIS STREET 52 (BLK 513),1,
IR RIS STREET 52 (BLK 517),1,
Location,No. of Dengue Cases,
NG PASIR AVENUE 1 (BLK 118),1,
NG PASIR AVENUE 1 (BLK 120),1,
Location,No. of Dengue Cases,
SIMS AVENUE,2,
"",,
Location,No. of Dengue Cases,
PINES AVENUE 4 (BLK 908),1,
PINES STREET 91 (BLK 911),1,
"",,
Location,No. of Dengue Cases,
CK WHYE LANE (BLK 111),1,
CK WHYE LANE (BLK 112),1,
Location,No. of Dengue Cases,
K BLANGAH HEIGHTS (BLK 86),2,
Location,No. of Dengue Cases,
TOH YI DRIVE (BLK 13),1,
TOH YI DRIVE (BLK 17),1,
Location,No. of Dengue Cases,
UBI AVENUE 1 (BLK 320),1,
UBI AVENUE 1 (BLK 322),1,
Location,No. of Dengue Cases,
WATTEN DRIVE,1,
WATTEN HEIGHTS,1,
Location,No. of Dengue Cases,
WOODLANDS DRIVE 72,2,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
lity with active transmission where intervention is targeted.  It is,,,,
in 14 days and are located within 150m of each other (based on,,,,
movement history).  The clusters are categorised according to,,,,
also accompanies each alert level. There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
s Yellow,,,,
t 21 days Green,,,,
s current vector control intervention.  Please click on the cluster,,,,
Breakdown,,,,
Location,No. of cases,,,
Bedok North Road (Blk 705),,3,,
Bedok North Road (Blk 706),,13,,
Bedok North Road (Blk 707),,2,,
Bedok North Road (Blk 708),,7,,
Bedok Reservoir Road (Blk 701),,13,,
Bedok Reservoir Road (Blk 702),,8,,
Bedok Reservoir Road (Blk 703),,19,,
Bedok Reservoir Road (Blk 704),,9,,
Bedok Reservoir Road (Blk 705),,5,,
Bedok Reservoir Road (Blk 709),,2,,
Bedok Reservoir Road (Blk 711),,6,,
Bedok Reservoir Road (Blk 712),,1,,
Bedok Reservoir Road (Blk 713),,3,,
Bedok Reservoir Road (Blk 714),,2,,
Bedok Reservoir Road (Blk 715),,2,,
Bedok Reservoir Road (Blk 716),,1,,
Bedok Reservoir Road (Blk 717),,3,,
"",,,,1/
Bedok Reservoir Road (Blk 718),3,
Bedok Reservoir Road (Blk 719),3,
Bedok Reservoir Road (Blk 720),1,
Bedok Reservoir Road (Blk 721),3,
Bedok Reservoir Road (Blk 740),5,
Bedok Reservoir Road,41,
Bedok Reservoir Crescent,2,
Location,No. of cases,
Orchard Road,102,
Location,No. of cases,
Da Silva Lane,4,
Flower Road,8,
Glasgow Road,2,
Highland Close,1,
Highland Road,1,
Highland Walk,1,
Kovan Road,10,
Lowland Road,7,
Palm Grove Avenue,4,
Phillips Avenue,4,
Richards Avenue,10,
Richards Place,8,
Simon Walk,1,
Teow Hock Avenue,1,
Upper Serangoon Road,2,
Location,No. of cases,
Jalan Belibas,3,
Jalan Chegar,3,
Jalan Chempah,1,
Jalan Hari Raya,5,
Jalan Keli,3,
Jalan Khamis,2,
Jalan Ikan Merah,11,
Jalan Isnin,5,
Jalan Minggu,3,
Jalan Pintau,5,
Jalan Rabu,1,
Jalan Sembilang,3,
Jalan Terubok,4,
Shunfu Road (Blk 311),1,
Shunfu Road (Blk 314),2,
Shunfu Road (Blk 315),1,
Shunfu Road (Blk 317),1,
Sin Ming Road (Blk 23),1,
Sin Ming Road (Blk 24),2,
Sin Ming Road (Blk 25),6,
Location,No. of cases,
Balmoral Crescent,16,
Balmoral Road,5,
Bukit Timah Road,2,
Location,No. of cases,
Jalan Gembira,1,
Jalan Mulia,5,
Jalan Setia,4,
Joo Seng Road (Blk 20),1,
Joo Seng Road (Blk 21),3,
Upper Aljunied Lane (Blk 4),1,
Location,No. of cases,
Devonshire Road,14,
Location,No. of cases,
Canberra Drive,2,
Yishun Avenue 7 (Blk 170),3,
Yishun Avenue 7 (Blk 172),5,
Yishun Avenue 7 (Blk 173),1,
Yishun Ring Road (Blk 165),1,
"",,
Location,No. of cases,
Chancery Lane,1,
Dunearn Road,3,
Gilstead Road,8,
Location,No. of cases,
Guillemard Road,3,
Lorong 4 Geylang,2,
Lorong 6 Geylang,5,
Lorong 8 Geylang,1,
Location,No. of cases,
Anthony Road,1,
Cairnhill Circle,3,
Cairnhill Rise,1,
Cairnhill Road,1,
Peck Hay Road,1,
Location,No. of cases,
Balestier Road,5,
Jalan Ampas,1,
Jalan Kemaman,1,
Location,No. of cases,
Kang Ching Road (Blk 345),5,
Kang Ching Road (Blk 346),1,
Kang Ching Road (Blk 353),1,
Location,No. of cases,
Lorong 9 Geylang,2,
Lorong 11 Geylang,3,
Lorong 13 Geylang,1,
Lorong 15 Geylang,1,
Location,No. of cases,
Pasir Ris Drive 1,3,
Pasir Ris Drive 1 (Blk 531),1,
Pasir Ris Drive 1 (Blk 533),1,
Pasir Ris Drive 1 (Blk 536),1,
Location,No. of cases,
Martin Place,2,
River Valley Road,2,
Location,No. of Dengue Cases,
Bukit Batok Street 33 (Blk 325),1,
Bukit Batok Street 33 (Blk 331),1,
ukit Batok West Avenue 4 (Blk 409),1,
ukit Batok West Avenue 4 (Blk 416),1,
Location,No. of cases,
Guillemard Road,2,
Lorong 28 Geylang,1,
Lorong 30 Geylang,1,
Location,No. of Dengue Cases,
Hougang Avenue 5 (Blk 334),1,
Hougang Avenue 7,3,
"",,
Location,No. of cases,
Hougang Avenue 8 (Blk 467),2,
Hougang Avenue 10 (Blk 406),1,
Hougang Avenue 10 (Blk 413),1,
Location,No. of cases,
Joo Seng Road (Blk 8),1,
Joo Seng Road (Blk 12),3,
Location,No. of Dengue Cases,
Lorong 1 Toa Payoh (Blk 237),2,
Lorong 1 Toa Payoh (Blk 238),2,
Location,No. of Dengue Cases,
Lorong 17 Geylang,1,
Sims Avenue,3,
Location,No. of cases,
Lorong 3 Geylang,2,
Upper Boon Keng Road (Blk 38),2,
Location,No. of cases,
Tampines Street 41 (Blk 404),1,
Tampines Street 41 (Blk 405),1,
Tampines Street 41 (Blk 408),2,
Location,No. of Dengue Cases,
Yishun Avenue 5 (Blk 742),1,
Yishun Street 72 (Blk 735),2,
Yishun Street 72 (Blk 746),1,
Location,No. of Dengue Cases,
Ang Mo Kio Avenue 5 (Blk 523),2,
Ang Mo Kio Street 52 (Blk 588a),1,
Location,No. of cases,
Ashwood Grove,1,
Woodgrove View,2,
Location,No. of Dengue Cases,
Balestier Road,2,
Jalan Dusun (Blk 102),1,
Location,No. of Dengue Cases,
Bishan Street 22 (Blk 250),1,
Bishan Street 22 (Blk 256),2,
Location,No. of cases,
Bukit Batok Street 31 (Blk 307),1,
Bukit Batok Street 31 (Blk 308),2,
Location,No. of cases,
Changi North Street 1,3,
Location,No. of cases,
Choa Chu Kang Crescent (Blk 683b),1,
Choa Chu Kang Crescent (Blk 684b),1,
Choa Chu Kang Crescent (Blk 685b),1,
Location,No. of cases,
Commonwealth Drive (Blk 50),1,
Commonwealth Drive (Blk 75),2,
Location,No. of Dengue Cases,
Eunos Crescent (Blk 1),1,
Eunos Crescent (Blk 32),1,
Eunos Crescent (Blk 33),1,
Location,No. of cases,
Hume Avenue,3,
Location,No. of Dengue Cases,
Minbu Road,1,
Shan Road,2,
Location,No. of Dengue Cases,
New Industrial Road,3,
Location,No. of Dengue Cases,
Pasir Ris Drive 6 (Blk 426),1,
Pasir Ris Drive 6 (Blk 427),1,
Pasir Ris Drive 6 (Blk 429),1,
Location,No. of cases,
Tampines Street 12 (Blk 163),1,
Tampines Street 12 (Blk 166),2,
Location,No. of cases,
Teck Whye Lane (Blk 111),1,
Teck Whye Lane (Blk 112),2,
Location,No. of cases,
Toh Yi Drive (Blk 13),2,
Toh Yi Drive (Blk 17),1,
Location,No. of Dengue Cases,
Woodlands Street 82 (Blk 818),1,
Woodlands Street 82 (Blk 820),1,
Woodlands Street 82 (Blk 821),1,
Location,No. of Dengue Cases,
Bedok Reservoir View,1,
Bedok Reservoir View (Blk 762),1,
Location,No. of Dengue Cases,
Bukit Panjang Ring Road (Blk 240),1,
Bukit Panjang Ring Road (Blk 241),1,
Location,No. of Dengue Cases,
Butterworth Lane,1,
Ipoh Lane,1,
Location,No. of Dengue Cases,
Cantonment Road (Blk 1e),1,
Cantonment Road (Blk 1f),1,
Location,No. of cases,
Clementi Avenue 3 (Blk 433),1,
Clementi Avenue 3 (Blk 434),1,
Location,No. of Dengue Cases,
Compassvale Bow (Blk 264D),1,
Compassvale Bow (Blk 265D),1,
Location,No. of Dengue Cases,
Dalvey Estate,1,
Lewis Road,1,
Location,No. of cases,
Farleigh Avenue,1,
Serangoon Garden Way,1,
Location,No. of Dengue Cases,
Jalan Sindor,2,
Location,No. of cases,
Jurong East Street 24 (Blk 245),2,
Location,No. of cases,
Jurong West Street 24 (Blk 271c),1,
Jurong West Street 24 (Blk 272a),1,
Location,No. of Dengue Cases,
Jurong West Street 74 (Blk 765),1,
Westwood Avenue,1,
Location,No. of cases,
Leicester Road,1,
Meyappa Chettiar Road,1,
Location,No. of Dengue Cases,
Lorong 7 Toa Payoh (Blk 13),1,
Lorong 7 Toa Payoh (Blk 14A),1,
Location,No. of cases,
Lorong 8 Toa Payoh (Blk 214),1,
Lorong 8 Toa Payoh (Blk 217),1,
Location,No. of cases,
Pasir Ris Drive 6 (Blk 474),2,
Location,No. of cases,
Pasir Ris Street 52 (Blk 513),1,
Pasir Ris Street 52 (Blk 517),1,
Location,No. of cases,
Sims Avenue,2,
Location,No. of cases,
Ubi Avenue 1 (Blk 320),1,
Ubi Avenue 1 (Blk 322),1,
Location,No. of cases,
Upper Serangoon Road,2,
"",,
Upper Thomson Road,2,
Location,No. of Dengue Cases,
Yishun Avenue 11 (Blk 438),1,
Yishun Avenue 11 (Blk 440),1,
Location,No. of Dengue Cases,
Yishun Street 61 (Blk 607),1,
Yishun Street 61 (Blk 642),1,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Participate Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
lity with active transmission where intervention is targeted.  It is,,,,
in 14 days and are located within 150m of each other (based on,,,,
movement history).  The clusters are categorised according to,,,,
also accompanies each alert level. There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
s Yellow,,,,
t 21 days Green,,,,
s current vector control intervention.  Please click on the cluster,,,,
Breakdown,,,,
Location,No. of cases,,,
Bedok North Road (Blk 705),,3,,
Bedok North Road (Blk 706),,13,,
Bedok North Road (Blk 707),,2,,
Bedok North Road (Blk 708),,7,,
Bedok Reservoir Road (Blk 701),,13,,
Bedok Reservoir Road (Blk 702),,8,,
Bedok Reservoir Road (Blk 703),,19,,
Bedok Reservoir Road (Blk 704),,9,,
Bedok Reservoir Road (Blk 705),,5,,
Bedok Reservoir Road (Blk 709),,2,,
Bedok Reservoir Road (Blk 711),,6,,
Bedok Reservoir Road (Blk 712),,1,,
Bedok Reservoir Road (Blk 713),,3,,
Bedok Reservoir Road (Blk 714),,2,,
Bedok Reservoir Road (Blk 715),,2,,
Bedok Reservoir Road (Blk 716),,1,,
Bedok Reservoir Road (Blk 717),,3,,
"",,,,1/
Bedok Reservoir Road (Blk 718),3,
Bedok Reservoir Road (Blk 719),3,
Bedok Reservoir Road (Blk 720),1,
Bedok Reservoir Road (Blk 721),3,
Bedok Reservoir Road (Blk 740),5,
Bedok Reservoir Road,41,
Bedok Reservoir Crescent,2,
Location,No. of cases,
Orchard Road,103,
Location,No. of cases,
Da Silva Lane,4,
Flower Road,8,
Glasgow Road,2,
Highland Close,1,
Highland Road,1,
Highland Walk,1,
Kovan Road,10,
Lowland Road,7,
Palm Grove Avenue,4,
Phillips Avenue,4,
Richards Avenue,10,
Richards Place,8,
Simon Walk,1,
Teow Hock Avenue,1,
Upper Serangoon Road,2,
Location,No. of cases,
Jalan Belibas,3,
Jalan Chegar,3,
Jalan Chempah,1,
Jalan Hari Raya,5,
Jalan Keli,3,
Jalan Khamis,2,
Jalan Ikan Merah,11,
Jalan Isnin,5,
Jalan Minggu,3,
Jalan Pintau,5,
Jalan Rabu,1,
Jalan Sembilang,3,
Jalan Terubok,4,
Shunfu Road (Blk 311),1,
Shunfu Road (Blk 314),2,
Shunfu Road (Blk 315),1,
Shunfu Road (Blk 317),1,
Sin Ming Road (Blk 23),1,
Sin Ming Road (Blk 24),2,
Sin Ming Road (Blk 25),6,
Location,No. of cases,
Balmoral Crescent,16,
Balmoral Road,5,
Bukit Timah Road,2,
Location,No. of cases,
Canberra Drive,2,
Yishun Avenue 7 (Blk 170),3,
Yishun Avenue 7 (Blk 172),5,
Yishun Avenue 7 (Blk 173),1,
Yishun Ring Road (Blk 165),1,
Yishun Ring Road (Blk 167),1,
Yishun Street 11 (Blk 122),1,
Yishun Street 11 (Blk 125),1,
Yishun Street 11 (Blk 128),1,
Location,No. of cases,
Devonshire Road,15,
Location,No. of cases,
Jalan Gembira,1,
Jalan Mulia,5,
"",,
Joo Seng Road (Blk 20),1,
Joo Seng Road (Blk 21),3,
Upper Aljunied Lane (Blk 4),1,
Location,No. of cases,
Chancery Lane,1,
Dunearn Road,4,
Gilstead Road,8,
Location,No. of cases,
Guillemard Road,4,
Lorong 4 Geylang,2,
Lorong 6 Geylang,5,
Lorong 8 Geylang,1,
Location,No. of cases,
Balestier Road,5,
Jalan Ampas,1,
Jalan Kemaman,1,
Kim Keat Road,1,
Location,No. of cases,
Lorong 9 Geylang,2,
Lorong 11 Geylang,3,
Lorong 13 Geylang,1,
Lorong 15 Geylang,2,
Location,No. of cases,
Anthony Road,1,
Cairnhill Circle,3,
Cairnhill Rise,1,
Cairnhill Road,1,
Peck Hay Road,1,
Location,No. of cases,
Kang Ching Road (Blk 345),5,
Kang Ching Road (Blk 346),1,
Kang Ching Road (Blk 353),1,
Location,No. of Dengue Cases,
Lorong 1 Toa Payoh (Blk 237),2,
Lorong 1 Toa Payoh (Blk 238),4,
Location,No. of cases,
Pasir Ris Drive 1,3,
Pasir Ris Drive 1 (Blk 531),1,
Pasir Ris Drive 1 (Blk 533),1,
Pasir Ris Drive 1 (Blk 536),1,
Location,No. of cases,
Martin Place,2,
River Valley Road,2,
Location,No. of cases,
Tampines Street 12 (Blk 163),1,
Tampines Street 12 (Blk 166),4,
Location,No. of Dengue Cases,
Yishun Avenue 5 (Blk 742),1,
Yishun Street 72 (Blk 735),2,
Yishun Street 72 (Blk 737),1,
Yishun Street 72 (Blk 746),1,
Location,No. of Dengue Cases,
Bukit Batok Street 33 (Blk 325),1,
Bukit Batok Street 33 (Blk 331),1,
ukit Batok West Avenue 4 (Blk 409),1,
ukit Batok West Avenue 4 (Blk 416),1,
Location,No. of cases,
Guillemard Road,2,
Lorong 28 Geylang,1,
Lorong 30 Geylang,1,
Location,No. of Dengue Cases,
Hougang Avenue 5 (Blk 334),1,
Hougang Avenue 7,3,
Location,No. of cases,
Hougang Avenue 8 (Blk 467),2,
Hougang Avenue 10 (Blk 406),1,
Hougang Avenue 10 (Blk 413),1,
Location,No. of cases,
Joo Seng Road (Blk 8),1,
Joo Seng Road (Blk 12),3,
Location,No. of Dengue Cases,
Lorong 17 Geylang,1,
Sims Avenue,3,
Location,No. of cases,
Lorong 3 Geylang,2,
Upper Boon Keng Road (Blk 38),2,
Location,No. of cases,
Tampines Street 41 (Blk 404),1,
Tampines Street 41 (Blk 405),1,
Tampines Street 41 (Blk 408),2,
Location,No. of Dengue Cases,
Ang Mo Kio Avenue 5 (Blk 523),2,
Ang Mo Kio Street 52 (Blk 588a),1,
Location,No. of cases,
Ashwood Grove,1,
Woodgrove View,2,
Location,No. of Dengue Cases,
Balestier Road,2,
Jalan Dusun (Blk 102),1,
"",,
Location,No. of Dengue Cases,
Bishan Street 22 (Blk 250),1,
Bishan Street 22 (Blk 256),2,
Location,No. of cases,
Bukit Batok Street 31 (Blk 307),1,
Bukit Batok Street 31 (Blk 308),2,
Location,No. of cases,
Changi North Street 1,3,
Location,No. of cases,
Choa Chu Kang Crescent (Blk 683b),1,
Choa Chu Kang Crescent (Blk 684b),1,
Choa Chu Kang Crescent (Blk 685b),1,
Location,No. of cases,
Commonwealth Drive (Blk 50),1,
Commonwealth Drive (Blk 75),2,
Location,No. of Dengue Cases,
Eunos Crescent (Blk 1),1,
Eunos Crescent (Blk 32),1,
Eunos Crescent (Blk 33),1,
Location,No. of cases,
Hume Avenue,3,
Location,No. of Dengue Cases,
Minbu Road,1,
Shan Road,2,
Location,No. of Dengue Cases,
Pasir Ris Drive 6 (Blk 426),1,
Pasir Ris Drive 6 (Blk 427),1,
Pasir Ris Drive 6 (Blk 429),1,
Location,No. of cases,
Teck Whye Lane (Blk 111),1,
Teck Whye Lane (Blk 112),2,
Location,No. of cases,
Toh Yi Drive (Blk 17),1,
Location,No. of Dengue Cases,
Woodlands Street 82 (Blk 818),1,
Woodlands Street 82 (Blk 820),1,
Woodlands Street 82 (Blk 821),1,
Location,No. of Dengue Cases,
Brighton Avenue,1,
Brighton Crescent,1,
Location,No. of Dengue Cases,
Bukit Panjang Ring Road (Blk 240),1,
Bukit Panjang Ring Road (Blk 241),1,
Location,No. of Dengue Cases,
Butterworth Lane,1,
Ipoh Lane,1,
Location,No. of Dengue Cases,
Cantonment Road (Blk 1e),1,
Cantonment Road (Blk 1f),1,
Location,No. of Dengue Cases,
Chin Swee Road (Blk 52),1,
Chin Swee Road (Blk 53),1,
Location,No. of Dengue Cases,
Compassvale Bow (Blk 264D),1,
Compassvale Bow (Blk 265D),1,
Location,No. of Dengue Cases,
Dalvey Estate,1,
Lewis Road,1,
Location,No. of cases,
Farleigh Avenue,1,
Serangoon Garden Way,1,
Location,No. of Dengue Cases,
Jalan Rajah (Blk 104),1,
Jalan Rajah (Blk 106),1,
Location,No. of cases,
Jurong East Street 24 (Blk 245),2,
Location,No. of cases,
Jurong West Street 24 (Blk 271c),1,
Jurong West Street 24 (Blk 272a),1,
Location,No. of Dengue Cases,
Jurong West Street 74 (Blk 765),1,
Westwood Avenue,1,
Location,No. of cases,
Leicester Road,1,
Meyappa Chettiar Road,1,
Location,No. of Dengue Cases,
Lorong 7 Toa Payoh (Blk 13),1,
Lorong 7 Toa Payoh (Blk 14A),1,
Location,No. of cases,
Lorong 8 Toa Payoh (Blk 214),1,
Lorong 8 Toa Payoh (Blk 217),1,
"",,
Location,No. of Dengue Cases,
New Industrial Road,2,
Location,No. of cases,
Pasir Ris Drive 6 (Blk 474),2,
Location,No. of Dengue Cases,
Sembawang Close (Blk 319),1,
Sembawang Crescent (Blk 325),1,
Location,No. of cases,
"",,
Location,No. of Dengue Cases,
Tampines Street 21 (Blk 205),1,
Tampines Street 21 (Blk 206),1,
Location,No. of Dengue Cases,
Tampines Street 83 (Blk 866),1,
Tampines Street 83 (Blk 870),1,
Location,No. of cases,
Ubi Avenue 1 (Blk 320),1,
Ubi Avenue 1 (Blk 322),1,
Location,No. of cases,
Upper Serangoon Road,2,
Location,No. of cases,
Upper Thomson Road,2,
Location,No. of Dengue Cases,
Woodlands Avenue 6 (Blk 724),2,
Location,No. of Dengue Cases,
Yishun Avenue 11 (Blk 438),1,
Yishun Avenue 11 (Blk 440),1,
Location,No. of Dengue Cases,
Yishun Street 61 (Blk 607),1,
Yishun Street 61 (Blk 642),1,
nnect With Us,"GO TONEA Website"
"",
"",
t Agency,,,,
Feedback,FAQS,Contact Us,,
Newsroom Resources,,Contact,,
Dengue Cluster Information @ NEA 2013,,,,
Click here for more NEA information in OneMap,,,,
lity with active transmission where intervention is targeted.  It is,,,,
in 14 days and are located within 150m of each other (based on,,,,
movement history).  The clusters are categorised according to,,,,
also accompanies each alert level. There are 3 alert levels:,,,,
Alert Level,,,,
Red,,,,
s Yellow,,,,
t 21 days Green,,,,
s current vector control intervention.  Please click on the cluster,,,,
Breakdown,,,,
Location,No. of cases,,,
Orchard Road,,108,,
Location,No. of cases,,,
Da Silva Lane,,5,,
Flower Road,,9,,
Glasgow Road,,3,,
Highland Close,,1,,
Highland Road,,1,,
Highland Walk,,1,,
Kovan Road,,10,,
Lowland Road,,7,,
Palm Grove Avenue,,4,,
Phillips Avenue,,4,,
Richards Avenue,,10,,
Richards Place,,8,,
Rosyth Road,,1,,
Simon Place,,1,,
Teow Hock Avenue,,3,,
Upper Serangoon Road,,2,,
"",,,,1/
"AgencyUpper Serangoon Road2LocationNo. of casesJalan Belibas3Jalan Chegar3Jalan Chempah1Jalan Hari Raya5Jalan Keli3Jalan Khamis2Jalan Ikan Merah11Jalan Isnin5Jalan Minggu3Jalan Pintau5Jalan Rabu1Jalan Sembilang4Jalan Terubok4Shunfu Road (Blk 311)1Shunfu Road (Blk 314)2Shunfu Road (Blk 315)1Shunfu Road (Blk 317)1Sin Ming Road (Blk 23)1Sin Ming Road (Blk 24)2Sin Ming Road (Blk 25)6LocationNo. of casesCanberra Drive2Yishun Avenue 7 (Blk 170)3Yishun Avenue 7 (Blk 172)5Yishun Avenue 7 (Blk 173)1Yishun Ring Road (Blk 165)4Yishun Ring Road (Blk 166)2Yishun Ring Road (Blk 167)1Yishun Street 11 (Blk 122)2Yishun Street 11 (Blk 125)1Yishun Street 11 (Blk 128)1Yishun Street 11 (Blk 130)1LocationNo. of casesJalan Gembira1Jalan Kemajuan3Jalan Muhibbah1Jalan Mulia7Jalan Setia5Joo Seng Road (Blk 20)1Joo Seng Road (Blk 21)3Kampong Ampat1Upper Aljunied Lane (Blk 4)1LocationNo. of casesGeylang Road2Lorong 9 Geylang3Lorong 11 Geylang3Lorong 13 Geylang3Lorong 15 Geylang4Lorong 21 Geylang1Sims Avenue1LocationNo. of casesChancery Lane1Dunearn Road4Gilstead Road11LocationNo. of casesDevonshire Road16LocationNo. of casesGeylang Road1Guillemard Road4Lorong 4 Geylang2Lorong 6 Geylang5Lorong 8 Geylang1Lorong 14 Geylang1",,
Location,No. of cases,
Jalan Belibas,3,
Jalan Chegar,3,
Jalan Chempah,1,
Jalan Hari Raya,5,
Jalan Keli,3,
Jalan Khamis,2,
Jalan Ikan Merah,11,
Jalan Isnin,5,
Jalan Minggu,3,
Jalan Pintau,5,
Jalan Rabu,1,
Jalan Sembilang,4,
Jalan Terubok,4,
Shunfu Road (Blk 311),1,
Shunfu Road (Blk 314),2,
Shunfu Road (Blk 315),1,
Shunfu Road (Blk 317),1,
Sin Ming Road (Blk 23),1,
Sin Ming Road (Blk 24),2,
Sin Ming Road (Blk 25),6,
Location,No. of cases,
Canberra Drive,2,
Yishun Avenue 7 (Blk 170),3,
Yishun Avenue 7 (Blk 172),5,
Yishun Avenue 7 (Blk 173),1,
Yishun Ring Road (Blk 165),4,
Yishun Ring Road (Blk 166),2,
Yishun Ring Road (Blk 167),1,
Yishun Street 11 (Blk 122),2,
Yishun Street 11 (Blk 125),1,
Yishun Street 11 (Blk 128),1,
Yishun Street 11 (Blk 130),1,
Location,No. of cases,
Jalan Gembira,1,
Jalan Kemajuan,3,
Jalan Muhibbah,1,
Jalan Mulia,7,
Jalan Setia,5,
Joo Seng Road (Blk 20),1,
Joo Seng Road (Blk 21),3,
Kampong Ampat,1,
Upper Aljunied Lane (Blk 4),1,
Location,No. of cases,
Geylang Road,2,
Lorong 9 Geylang,3,
Lorong 11 Geylang,3,
Lorong 13 Geylang,3,
Lorong 15 Geylang,4,
Lorong 21 Geylang,1,
Sims Avenue,1,
Location,No. of cases,
Chancery Lane,1,
Dunearn Road,4,
Gilstead Road,11,
Location,No. of cases,
Devonshire Road,16,
Location,No. of cases,
Geylang Road,1,
Guillemard Road,4,
Lorong 4 Geylang,2,
Lorong 6 Geylang,5,
Lorong 8 Geylang,1,
Lorong 14 Geylang,1,
"AgencyLorong 6 Geylang1LocationNo. of casesBalestier Road6Jalan Ampas1Jalan Kemaman1Kim Keat Road1Lorong Limau (Blk 76)1Minbu Road1LocationNo. of casesPasir Ris Drive 16Pasir Ris Drive 1 (Blk 531)1Pasir Ris Drive 1 (Blk 532)2Pasir Ris Drive 1 (Blk 533)1Pasir Ris Drive 1 (Blk 536)1LocationNo. of casesGuillemard Road4Lorong 28 Geylang3Lorong 30 Geylang1LocationNo. of casesLorong 1 Toa Payoh (Blk 237)2Lorong 1 Toa Payoh (Blk 238)5LocationNo. of casesAng Mo Kio Avenue 3 (Blk 124)1Ang Mo Kio Avenue 3 (Blk 126)3Ang Mo Kio Avenue 3 (Blk 127)1Ang Mo Kio Avenue 3 (Blk 128)1LocationNo. of casesIrving Road1Playfair Road2Shaw Road3LocationNo. of casesWoodlands Avenue 6 (Blk 722)1Woodlands Avenue 6 (Blk 724)3Woodlands Avenue 6 (Blk 725)1Woodlands Crescent (Blk 787B)1LocationNo. of casesYishun Avenue 5 (Blk 742)1Yishun Street 72 (Blk 735)3Yishun Street 72 (Blk 737)1Yishun Street 72 (Blk 746)1LocationNo. of casesLorong 17 Geylang1Sims Avenue4LocationNo. of casesTampines Street 12 (Blk 163)1Tampines Street 12 (Blk 166)4LocationNo. of casesBishan Street 22 (Blk 250)1Bishan Street 22 (Blk 256)3LocationNo. of casesCommonwealth Close (Blk 83)1Commonwealth Close (Blk 88)2Commonwealth Drive (Blk 91)1LocationNo. of casesEden Grove4LocationNo. of casesJalan Sayang2Jalan Selamat1Jalan Senyum1LocationNo. of cases",,
